label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.0466,0.2457,0.9456,-0.3052,-1.7700,-0.2441
unlabeled,-0.0480,0.2761,0.9325,-0.1831,-0.6714,-0.0610
unlabeled,-0.0471,0.2789,0.9349,1.7090,1.5869,1.5869
unlabeled,-0.0459,0.2550,0.9568,1.8921,2.0752,2.3193
unlabeled,-0.0457,0.2423,0.9702,0.3662,1.2817,1.8311
unlabeled,-0.0453,0.2449,0.9753,-0.6104,0.2441,0.9155
unlabeled,-0.0441,0.2568,0.9602,-1.4038,-1.2207,-0.1221
unlabeled,-0.0442,0.2625,0.9609,-0.3662,-0.7324,-0.3662
unlabeled,-0.0474,0.2578,0.9664,0.3662,-0.7935,-0.6714
unlabeled,-0.0497,0.2543,0.9623,1.7090,-2.0752,-0.4883
unlabeled,-0.0520,0.2559,0.9492,2.2583,-2.6245,0.1221
unlabeled,-0.0509,0.2592,0.9438,1.7090,-2.9297,0.4272
unlabeled,-0.0552,0.2662,0.9285,0.7324,-2.6855,0.1221
unlabeled,-0.0581,0.2579,0.9246,1.0986,-0.8545,1.2207
unlabeled,-0.0582,0.2493,0.9290,0.0610,0.9766,2.2583
unlabeled,-0.0590,0.2482,0.9431,-0.9766,1.6479,1.9531
unlabeled,-0.0610,0.2534,0.9462,-1.1597,2.4414,1.2207
unlabeled,-0.0576,0.2635,0.9469,-2.0142,2.6245,1.2817
unlabeled,-0.0529,0.2701,0.9526,-3.0518,3.4180,1.4038
unlabeled,-0.0461,0.2867,0.9865,-2.3804,4.3335,1.3428
unlabeled,-0.0481,0.2920,1.0189,-0.6104,6.6528,1.3428
unlabeled,-0.0552,0.3040,1.1206,-1.0986,7.4463,0.9766
unlabeled,-0.0764,0.3551,1.2592,-2.5024,8.2397,-0.6714
unlabeled,-0.0845,0.3942,1.3340,-3.6621,6.8970,-1.9531
unlabeled,-0.0989,0.4521,1.4596,-5.4932,5.0659,-0.6104
unlabeled,-0.1135,0.4507,1.5074,-10.9253,0.2441,3.7231
unlabeled,-0.0925,0.5083,1.5590,-11.9019,-3.1128,2.2583
unlabeled,-0.0708,0.5549,1.5582,2.9297,-18.8599,8.4839
unlabeled,-0.0552,0.5385,1.4580,10.1929,-29.2969,16.7847
unlabeled,-0.0477,0.5371,1.3175,23.1934,-47.4243,28.5645
unlabeled,-0.0551,0.4779,1.2474,35.6445,-58.4717,49.5605
unlabeled,-0.0989,0.2493,1.0745,44.5557,-59.9976,57.9224
unlabeled,-0.1320,0.1648,0.9961,57.0068,-52.9175,54.9316
unlabeled,-0.1416,0.1664,0.9714,53.1616,-44.9219,47.3633
unlabeled,-0.1233,0.1671,0.9874,22.2168,-31.4331,41.8091
unlabeled,-0.1041,0.1465,0.9945,2.9297,-30.0903,48.7671
unlabeled,-0.1073,0.1362,0.9718,-4.0283,-32.2876,52.3071
unlabeled,-0.1030,0.1359,0.9524,-11.1694,-37.1094,49.9878
unlabeled,-0.0781,0.1252,0.9474,-9.9487,-39.9780,43.4570
unlabeled,-0.0699,0.1215,0.9427,-8.4839,-51.3916,29.4800
unlabeled,-0.0846,0.1082,0.8638,-4.5776,-59.5703,25.5737
unlabeled,-0.1375,0.0963,0.7297,2.9907,-72.9980,21.7895
unlabeled,-0.1625,0.1158,0.6781,7.9346,-77.4536,18.1885
unlabeled,-0.1931,0.1237,0.6068,10.0098,-77.4536,17.3340
unlabeled,-0.2063,0.0914,0.5762,6.5918,-75.1953,17.9443
unlabeled,-0.2336,0.0383,0.5194,4.5776,-72.4487,16.7847
unlabeled,-0.2526,0.0195,0.4928,-3.2349,-62.7441,13.7939
unlabeled,-0.2805,0.0083,0.4330,-9.0942,-55.7251,11.2915
unlabeled,-0.2837,-0.0018,0.3960,-12.6343,-40.1611,4.3945
unlabeled,-0.2805,-0.0129,0.3959,-11.1084,-26.9165,-2.9297
unlabeled,-0.2731,-0.0094,0.4080,-9.2773,-21.4233,-7.3242
unlabeled,-0.2660,-0.0023,0.4131,-3.1128,-12.8784,-16.3574
